site,cage,treatment,tile,tile.treatment,position,length,thickness,dry.mass,af.dry.mass,tissue.mass,ci
SIN,24,MC,831,Juv.cull,10,19.23,4.05,0.431,0.41,0.021,0.051219512
SIN,24,MC,834,No.cull,3,15.87,4.32,0.31,0.295,0.015,0.050847458
SIN,24,MC,834,No.cull,4,18.82,3.17,0.235,0.223,0.012,0.053811659
SIN,24,MC,834,No.cull,5,20.83,3.88,0.397,0.373,0.024,0.064343164
SIN,24,MC,834,No.cull,6,19.2,3.87,0.333,0.314,0.019,0.060509554
SIN,24,MC,834,No.cull,8,16.31,4.44,0.238,0.227,0.011,0.04845815
SIN,24,MC,834,No.cull,9,20.08,3.68,0.317,0.288,0.029,0.100694444
SIN,24,MC,834,No.cull,10,17.6,3.91,0.339,0.321,0.018,0.056074766
SIN,24,MC,835,Juv.cull,4,18.65,3.76,0.315,0.231,0.084,0.363636364
SIN,24,MC,836,No.cull,6,15.48,3.19,0.197,0.151,0.046,0.304635762
SIN,24,MC,836,No.cull,9,17.66,3.26,0.234,0.218,0.016,0.073394495
SIN,24,MC,836,No.cull,10,16.01,4.48,0.304,0.167,0.137,0.820359281
ML,27,NP,61,No.cull,1,9.04,3.93,0.111,0.098,0.013,0.132653061
ML,27,NP,61,No.cull,6,12.36,2.95,0.093,0.087,0.006,0.068965517
ML,27,NP,61,No.cull,7,14.18,3.29,0.158,0.146,0.012,0.082191781
ML,27,NP,61,No.cull,8,12.6,3.17,0.204,0.192,0.012,0.0625
ML,27,NP,61,No.cull,9,11.65,2.95,0.148,0.136,0.012,0.088235294
ML,27,NP,61,No.cull,10,14.43,2.96,0.147,0.134,0.013,0.097014925
ML,27,NP,519,Juv.cull,2,11.55,3.39,0.085,0.078,0.007,0.08974359
ML,27,NP,519,Juv.cull,4,16.13,4.2,0.243,0.226,0.017,0.075221239
ML,27,NP,519,Juv.cull,5,13.08,3.06,0.139,0.128,0.011,0.0859375
ML,27,NP,519,Juv.cull,6,9.38,3.22,0.151,0.139,0.012,0.086330935
ML,27,NP,597,Juv.cull,2,9.38,3.31,0.134,0.122,0.012,0.098360656
ML,27,NP,597,Juv.cull,4,7.88,2.73,0.099,0.095,0.004,0.042105263
ML,27,NP,597,Juv.cull,6,11.39,2.58,0.133,0.125,0.008,0.064
ML,27,NP,597,Juv.cull,9,10.44,2.83,0.104,0.095,0.009,0.094736842
ML,27,NP,597,Juv.cull,10,12.07,2.6,0.119,0.111,0.008,0.072072072
ML,27,NP,599,No.cull,1,19.89,4.39,0.384,0.352,0.032,0.090909091
ML,27,NP,599,No.cull,2,15.63,3.93,0.214,0.196,0.018,0.091836735
ML,27,NP,599,No.cull,3,14.3,3.83,0.238,0.222,0.016,0.072072072
ML,27,NP,599,No.cull,4,16.39,3.56,0.263,0.247,0.016,0.064777328
ML,27,NP,599,No.cull,5,20.04,3.13,0.282,0.263,0.019,0.072243346
ML,27,NP,599,No.cull,6,21.01,5.08,0.453,0.42,0.033,0.078571429
ML,27,NP,599,No.cull,7,18.37,3.87,0.349,0.319,0.03,0.094043887
ML,27,NP,599,No.cull,9,18.63,3.99,0.311,0.288,0.023,0.079861111
ML,27,NP,599,No.cull,10,16.52,3.65,0.322,0.293,0.029,0.098976109
ML,27,NP,600,Juv.cull,1,9.5,2.79,0.097,0.091,0.006,0.065934066
ML,27,NP,600,Juv.cull,2,17.13,3.59,0.438,0.364,0.074,0.203296703
ML,27,NP,600,Juv.cull,3,11.52,3.15,0.112,0.095,0.017,0.178947368
ML,27,NP,600,Juv.cull,5,17.64,4.12,0.303,0.282,0.021,0.074468085
ML,27,NP,600,Juv.cull,6,15.01,3.28,0.23,0.217,0.013,0.059907834
ML,27,NP,600,Juv.cull,7,20.62,4.15,0.366,0.339,0.027,0.079646018
ML,27,NP,600,Juv.cull,10,17.61,4.61,0.341,0.318,0.023,0.072327044
ML,27,NP,605,No.cull,1,8.23,3.06,0.105,0.099,0.006,0.060606061
ML,27,NP,605,No.cull,3,8.19,2.53,0.055,0.05,0.005,0.1
ML,27,NP,605,No.cull,5,11.79,2.45,0.094,0.086,0.008,0.093023256
ML,27,NP,605,No.cull,6,12.92,3.44,0.169,0.157,0.012,0.076433121
ML,27,NP,605,No.cull,7,11.46,2.38,0.108,0.102,0.006,0.058823529
ML,27,NP,605,No.cull,9,8.05,2.69,0.074,0.068,0.006,0.088235294
ML,27,NP,605,No.cull,10,13.4,2.84,0.145,0.136,0.009,0.066176471
ML,27,NP,609,Juv.cull,3,16.4,3.7,0.214,0.199,0.015,0.075376884
ML,27,NP,609,Juv.cull,4,15.8,3.46,0.344,0.323,0.021,0.06501548
ML,27,NP,609,Juv.cull,6,17.35,4.14,0.228,0.213,0.015,0.070422535
ML,27,NP,609,Juv.cull,7,13.22,2.94,0.16,0.149,0.011,0.073825503
ML,27,NP,609,Juv.cull,10,16.32,3.77,0.528,0.504,0.024,0.047619048
ML,27,NP,620,Juv.cull,4,16.02,3.4,0.777,0.738,0.039,0.052845528
ML,27,NP,620,Juv.cull,9,19.29,3.24,0.269,0.25,0.019,0.076
ML,27,NP,620,Juv.cull,10,19.67,4.13,0.311,0.285,0.026,0.09122807
ML,27,NP,628,Juv.cull,1,12.79,3.22,0.996,0.922,0.074,0.080260304
ML,27,NP,628,Juv.cull,2,9.93,3.1,0.287,0.267,0.02,0.074906367
ML,27,NP,628,Juv.cull,3,9.07,2.86,0.091,0.084,0.007,0.083333333
ML,27,NP,628,Juv.cull,4,10.32,2.43,0.065,0.06,0.005,0.083333333
ML,27,NP,628,Juv.cull,7,15.41,3.49,1.652,1.544,0.108,0.069948187
ML,27,NP,628,Juv.cull,8,13.37,3.03,0.12,0.1,0.02,0.2
ML,27,NP,628,Juv.cull,10,14.42,2.83,0.163,0.142,0.021,0.147887324
ML,27,NP,629,No.cull,1,14.86,3.31,0.194,0.18,0.014,0.077777778
ML,27,NP,629,No.cull,2,16.91,3.9,0.222,0.206,0.016,0.077669903
ML,27,NP,629,No.cull,3,14.87,4.11,0.237,0.221,0.016,0.07239819
ML,27,NP,629,No.cull,4,14.83,3.65,0.197,0.176,0.021,0.119318182
ML,27,NP,629,No.cull,5,20.83,4.53,0.449,0.411,0.038,0.092457421
ML,27,NP,629,No.cull,6,12.72,3.95,0.205,0.187,0.018,0.096256684
ML,27,NP,629,No.cull,7,18.94,3.81,0.347,0.319,0.028,0.087774295
ML,27,NP,629,No.cull,8,19.24,4.22,0.399,0.363,0.036,0.099173554
ML,27,NP,629,No.cull,10,10.69,4.85,0.19,0.172,0.018,0.104651163
ML,27,NP,650,Juv.cull,1,14.74,3.78,0.224,0.201,0.023,0.114427861
ML,27,NP,650,Juv.cull,2,10.64,2.26,0.079,0.072,0.007,0.097222222
ML,27,NP,650,Juv.cull,8,10.82,2.73,0.104,0.096,0.008,0.083333333
ML,27,NP,661,No.cull,2,16.1,3.19,0.57,0.537,0.033,0.061452514
ML,27,NP,661,No.cull,3,17.13,4.03,1.693,1.599,0.094,0.058786742
ML,27,NP,661,No.cull,4,15.98,4.07,0.192,0.176,0.016,0.090909091
ML,27,NP,661,No.cull,5,14.7,4.11,0.248,0.227,0.021,0.092511013
ML,27,NP,661,No.cull,6,20.92,2.69,0.326,0.3,0.026,0.086666667
ML,27,NP,661,No.cull,7,15.63,4,0.207,0.194,0.013,0.067010309
ML,27,NP,661,No.cull,8,17.78,3.61,1.114,1.041,0.073,0.07012488
ML,27,NP,661,No.cull,9,18.61,3.63,0.261,0.242,0.019,0.078512397
ML,27,NP,661,No.cull,10,21.82,4.23,0.532,0.424,0.108,0.254716981
ML,29,CC,8,Juv.cull,2,15.83,3.52,0.242,0.232,0.01,0.043103448
ML,29,CC,8,Juv.cull,3,17.24,3.37,0.239,0.223,0.016,0.071748879
ML,29,CC,8,Juv.cull,4,16.84,4.43,0.352,0.335,0.017,0.050746269
ML,29,CC,8,Juv.cull,5,14.68,3,0.172,0.162,0.01,0.061728395
ML,29,CC,8,Juv.cull,10,19.58,3.28,0.289,0.271,0.018,0.066420664
ML,29,CC,85,No.cull,1,14.31,3.62,0.308,0.245,0.063,0.257142857
ML,29,CC,85,No.cull,2,10.38,3.25,0.126,0.11,0.016,0.145454545
ML,29,CC,85,No.cull,3,11.85,2.69,0.144,0.133,0.011,0.082706767
ML,29,CC,85,No.cull,5,9.16,3.25,0.085,0.085,0,0
ML,29,CC,85,No.cull,6,14.18,3.52,0.175,0.167,0.008,0.047904192
ML,29,CC,85,No.cull,7,13.87,3.11,0.169,0.158,0.011,0.069620253
ML,29,CC,85,No.cull,8,12.56,3.19,0.16,0.138,0.022,0.15942029
ML,29,CC,85,No.cull,9,11.21,3.1,0.139,0.13,0.009,0.069230769
ML,29,CC,85,No.cull,10,14.71,3.58,0.174,0.167,0.007,0.041916168
ML,29,CC,87,Juv.cull,3,9.81,2.59,0.099,0.097,0.002,0.020618557
ML,29,CC,87,Juv.cull,5,15.79,4.16,0.233,0.219,0.014,0.063926941
ML,29,CC,87,Juv.cull,6,17.33,3.1,0.239,0.23,0.009,0.039130435
ML,29,CC,87,Juv.cull,8,18.64,3.38,0.291,0.275,0.016,0.058181818
ML,29,CC,87,Juv.cull,9,17.51,3.77,0.277,0.262,0.015,0.057251908
ML,29,CC,87,Juv.cull,10,16.27,4.12,0.322,0.306,0.016,0.052287582
ML,29,CC,98,Juv.cull,2,18.58,3.92,0.342,0.324,0.018,0.055555556
ML,29,CC,98,Juv.cull,3,14.3,3.87,0.137,0.135,0.002,0.014814815
ML,29,CC,98,Juv.cull,5,17.07,3.65,0.296,0.282,0.014,0.04964539
ML,29,CC,98,Juv.cull,6,15.51,4.52,0.229,0.218,0.011,0.050458716
ML,29,CC,98,Juv.cull,10,15.54,3.98,0.202,0.194,0.008,0.041237113
ML,29,CC,99,No.cull,1,17.26,4.2,0.247,0.232,0.015,0.064655172
ML,29,CC,99,No.cull,2,18.6,3.46,0.269,0.254,0.015,0.059055118
ML,29,CC,99,No.cull,3,14.24,3.25,0.179,0.172,0.007,0.040697674
ML,29,CC,99,No.cull,4,19.18,3.54,0.316,0.304,0.012,0.039473684
ML,29,CC,99,No.cull,5,18.12,4.32,0.362,0.343,0.019,0.055393586
ML,29,CC,99,No.cull,6,14.63,4.07,0.264,0.246,0.018,0.073170732
ML,29,CC,99,No.cull,7,19.39,3,0.235,0.221,0.014,0.063348416
ML,29,CC,99,No.cull,8,17.91,3.54,0.267,0.268,-0.001,-0.003731343
ML,29,CC,99,No.cull,9,13.07,2.77,0.143,0.152,-0.009,-0.059210526
ML,29,CC,99,No.cull,10,17.02,2.94,0.21,0.219,-0.009,-0.04109589
ML,29,CC,109,Juv.cull,1,17.63,4.01,0.32,0.307,0.013,0.042345277
ML,29,CC,109,Juv.cull,2,10.65,4.14,0.192,0.185,0.007,0.037837838
ML,29,CC,109,Juv.cull,4,17.6,3.83,0.302,0.286,0.016,0.055944056
ML,29,CC,109,Juv.cull,5,17.04,2.63,0.17,0.158,0.012,0.075949367
ML,29,CC,109,Juv.cull,6,21.05,3.68,0.399,0.377,0.022,0.058355438
ML,29,CC,128,No.cull,1,18.75,4.1,0.323,0.303,0.02,0.066006601
ML,29,CC,128,No.cull,2,18.16,3.91,0.33,0.308,0.022,0.071428571
ML,29,CC,128,No.cull,3,16.94,3.53,0.237,0.223,0.014,0.062780269
ML,29,CC,128,No.cull,4,16.59,4.58,0.373,0.354,0.019,0.053672316
ML,29,CC,128,No.cull,5,16.12,3.24,0.157,0.155,0.002,0.012903226
ML,29,CC,128,No.cull,6,18.05,4.48,0.341,0.323,0.018,0.055727554
ML,29,CC,128,No.cull,7,16.15,4.72,0.289,0.276,0.013,0.047101449
ML,29,CC,128,No.cull,8,15.62,3.84,0.187,0.177,0.01,0.056497175
ML,29,CC,128,No.cull,9,17.34,4.01,0.22,0.209,0.011,0.052631579
ML,29,CC,128,No.cull,10,22.21,3.7,0.451,0.415,0.036,0.086746988
ML,29,CC,182,No.cull,1,11.77,3.82,0.189,0.174,0.015,0.086206897
ML,29,CC,182,No.cull,2,10.13,4.05,0.1,0.094,0.006,0.063829787
ML,29,CC,182,No.cull,3,8.47,2.34,0.031,0.035,-0.004,-0.114285714
ML,29,CC,182,No.cull,4,15.57,4.24,0.334,0.297,0.037,0.124579125
ML,29,CC,182,No.cull,5,14.07,3.6,0.193,0.183,0.01,0.054644809
ML,29,CC,182,No.cull,6,16.27,3.89,0.305,0.287,0.018,0.06271777
ML,29,CC,182,No.cull,7,17.26,3.2,0.233,0.219,0.014,0.063926941
ML,29,CC,182,No.cull,8,12.56,3.42,0.144,0.127,0.017,0.133858268
ML,29,CC,182,No.cull,9,15.7,3.56,0.197,0.185,0.012,0.064864865
ML,29,CC,182,No.cull,10,16.96,4.1,0.297,0.278,0.019,0.068345324
ML,29,CC,192,Juv.cull,1,14.98,3.55,0.226,0.211,0.015,0.071090047
ML,29,CC,192,Juv.cull,2,9.96,2.89,0.095,0.09,0.005,0.055555556
ML,29,CC,192,Juv.cull,5,15.61,3.4,0.218,0.206,0.012,0.058252427
ML,29,CC,192,Juv.cull,6,14.89,3.05,0.163,0.155,0.008,0.051612903
ML,29,CC,192,Juv.cull,3,10.76,2.84,0.107,0.099,0.008,0.080808081
ML,29,CC,203,Juv.cull,1,13.02,3.54,0.161,0.146,0.015,0.102739726
ML,29,CC,203,Juv.cull,4,11.15,2.81,0.085,0.08,0.005,0.0625
ML,29,CC,203,Juv.cull,7,13.59,3.59,0.173,0.181,-0.008,-0.044198895
ML,29,CC,203,Juv.cull,8,10.92,3.23,0.11,0.104,0.006,0.057692308
ML,29,CC,203,Juv.cull,9,8.38,2.59,0.086,0.085,0.001,0.011764706
ML,29,CC,205,No.cull,1,9.52,3.08,0.115,0.117,-0.002,-0.017094017
ML,29,CC,205,No.cull,2,11.8,2.67,0.155,0.146,0.009,0.061643836
ML,29,CC,205,No.cull,3,9.67,2.54,0.079,0.074,0.005,0.067567568
ML,29,CC,205,No.cull,4,5.94,1.95,0.02,0.023,-0.003,-0.130434783
ML,29,CC,205,No.cull,5,13.08,3.07,0.127,0.121,0.006,0.049586777
ML,29,CC,205,No.cull,9,15.06,3.31,0.159,0.151,0.008,0.052980132
ML,29,CC,205,No.cull,10,14.91,2.82,0.145,0.139,0.006,0.043165468
ML,29,CC,398,No.cull,1,9.64,2.27,0.085,0.081,0.004,0.049382716
ML,29,CC,398,No.cull,2,9.44,2.39,0.072,0.074,-0.002,-0.027027027
ML,29,CC,398,No.cull,3,9.02,2.68,0.082,0.079,0.003,0.037974684
ML,29,CC,398,No.cull,4,9.65,2.43,0.079,0.075,0.004,0.053333333
ML,29,CC,398,No.cull,5,9.15,2.61,0.099,0.093,0.006,0.064516129
ML,29,CC,398,No.cull,6,11.16,2.8,0.142,0.126,0.016,0.126984127
ML,29,CC,398,No.cull,7,10.27,2.82,0.082,0.079,0.003,0.037974684
ML,29,CC,398,No.cull,8,5.78,1.84,0.014,0.014,0,0
ML,29,CC,398,No.cull,9,12.71,2.92,0.127,0.12,0.007,0.058333333
ML,29,CC,398,No.cull,10,10.76,2.72,0.104,0.098,0.006,0.06122449
ML,30,MC,113,Juv.cull,1,14.11,3.6,0.213,0.199,0.014,0.070351759
ML,30,MC,113,Juv.cull,6,22.15,4.11,0.39,0.366,0.024,0.06557377
ML,30,MC,113,Juv.cull,8,20.55,3.59,0.329,0.301,0.028,0.093023256
ML,30,MC,113,Juv.cull,9,26.67,4.78,0.526,0.489,0.037,0.075664622
ML,30,MC,113,Juv.cull,10,25.22,4.48,0.492,0.455,0.037,0.081318681
ML,30,MC,114,No.cull,1,13.1,2.93,0.139,0.129,0.01,0.07751938
ML,30,MC,114,No.cull,3,12.06,3.27,0.157,0.155,0.002,0.012903226
ML,30,MC,114,No.cull,5,20.08,3.62,0.285,0.268,0.017,0.063432836
ML,30,MC,114,No.cull,6,11.7,3.84,0.151,0.14,0.011,0.078571429
ML,30,MC,114,No.cull,7,9.12,3,0.076,0.071,0.005,0.070422535
ML,30,MC,114,No.cull,8,10.1,3.24,0.115,0.107,0.008,0.074766355
ML,30,MC,114,No.cull,9,15.63,3.09,0.154,0.142,0.012,0.084507042
ML,30,MC,114,No.cull,10,15.29,3.82,0.239,0.224,0.015,0.066964286
ML,30,MC,116,Juv.cull,1,11.02,3.56,0.142,0.132,0.01,0.075757576
ML,30,MC,116,Juv.cull,2,12.32,2.48,0.074,0.068,0.006,0.088235294
ML,30,MC,116,Juv.cull,5,17.51,3.19,0.253,0.238,0.015,0.06302521
ML,30,MC,116,Juv.cull,9,11.54,4.64,0.165,0.154,0.011,0.071428571
ML,30,MC,116,Juv.cull,10,16.85,3.44,0.266,0.252,0.014,0.055555556
ML,30,MC,158,No.cull,1,10.33,3.36,0.132,0.123,0.009,0.073170732
ML,30,MC,158,No.cull,2,14.11,3.08,0.135,0.126,0.009,0.071428571
ML,30,MC,158,No.cull,3,13.32,3.47,0.168,0.155,0.013,0.083870968
ML,30,MC,158,No.cull,4,9.3,2.83,0.091,0.085,0.006,0.070588235
ML,30,MC,158,No.cull,5,18.32,4.43,0.299,0.278,0.021,0.075539568
ML,30,MC,158,No.cull,6,11.52,3.96,0.241,0.222,0.019,0.085585586
ML,30,MC,158,No.cull,7,14.94,3.11,0.333,0.311,0.022,0.07073955
ML,30,MC,158,No.cull,8,18.23,3.06,0.198,0.182,0.016,0.087912088
ML,30,MC,158,No.cull,9,15.67,3.55,0.204,0.189,0.015,0.079365079
ML,30,MC,158,No.cull,10,16.13,3.38,0.254,0.236,0.018,0.076271186
ML,30,MC,161,Juv.cull,2,14.52,4,0.22,0.207,0.013,0.062801932
ML,30,MC,161,Juv.cull,6,15,4.49,0.269,0.259,0.01,0.038610039
ML,30,MC,161,Juv.cull,7,17.18,3.73,0.24,0.226,0.014,0.061946903
ML,30,MC,161,Juv.cull,9,17.27,3.61,0.282,0.264,0.018,0.068181818
ML,30,MC,161,Juv.cull,10,14.29,2.79,0.211,0.201,0.01,0.049751244
ML,30,MC,171,No.cull,1,15.77,4.19,0.297,0.274,0.023,0.083941606
ML,30,MC,171,No.cull,2,20.73,3.36,0.376,0.356,0.02,0.056179775
ML,30,MC,171,No.cull,3,17.4,5.33,0.368,0.346,0.022,0.063583815
ML,30,MC,171,No.cull,4,22.19,3.79,0.365,0.346,0.019,0.054913295
ML,30,MC,171,No.cull,5,20.91,3.82,0.399,0.373,0.026,0.069705094
ML,30,MC,171,No.cull,6,17.6,3.76,0.295,0.282,0.013,0.046099291
ML,30,MC,171,No.cull,7,16.49,4.05,0.274,0.258,0.016,0.062015504
ML,30,MC,171,No.cull,8,17.93,3.95,0.296,0.279,0.017,0.0609319
ML,30,MC,171,No.cull,9,20.54,4.33,0.428,0.404,0.024,0.059405941
ML,30,MC,171,No.cull,10,11.68,3.9,0.152,0.138,0.014,0.101449275
ML,30,MC,184,Juv.cull,2,16.5,4.76,0.297,0.28,0.017,0.060714286
ML,30,MC,184,Juv.cull,3,17.82,3.95,0.263,0.244,0.019,0.077868852
ML,30,MC,184,Juv.cull,4,12.48,3.24,0.109,0.1,0.009,0.09
ML,30,MC,184,Juv.cull,6,22.46,4.45,0.416,0.388,0.028,0.072164948
ML,30,MC,184,Juv.cull,7,17.4,3.57,0.205,0.189,0.016,0.084656085
ML,30,MC,194,No.cull,2,23.32,4.47,0.486,0.455,0.031,0.068131868
ML,30,MC,194,No.cull,3,19.29,2.79,0.255,0.241,0.014,0.058091286
ML,30,MC,194,No.cull,4,22.73,4.09,0.441,0.415,0.026,0.062650602
ML,30,MC,194,No.cull,5,24.38,4.8,0.589,0.554,0.035,0.063176895
ML,30,MC,194,No.cull,6,23.01,4.48,0.43,0.403,0.027,0.066997519
ML,30,MC,194,No.cull,7,21.69,5.19,0.52,0.485,0.035,0.072164948
ML,30,MC,194,No.cull,8,18.28,3.44,0.214,0.201,0.013,0.064676617
ML,30,MC,194,No.cull,9,17.93,3.86,0.266,0.253,0.013,0.051383399
ML,30,MC,194,No.cull,10,22.91,5.09,0.459,0.429,0.03,0.06993007
ML,30,MC,195,No.cull,1,10.2,3.53,0.111,0.103,0.008,0.077669903
ML,30,MC,195,No.cull,2,15.38,3.07,0.16,0.15,0.01,0.066666667
ML,30,MC,195,No.cull,3,13.1,2.46,0.139,0.13,0.009,0.069230769
ML,30,MC,195,No.cull,4,12.31,3.52,0.144,0.134,0.01,0.074626866
ML,30,MC,195,No.cull,5,16.17,3.76,0.223,0.208,0.015,0.072115385
ML,30,MC,195,No.cull,6,15.63,3.35,0.167,0.156,0.011,0.070512821
ML,30,MC,195,No.cull,7,14.62,2.78,0.148,0.139,0.009,0.064748201
ML,30,MC,195,No.cull,8,10.51,3.28,0.14,0.132,0.008,0.060606061
ML,30,MC,195,No.cull,9,20.24,4.35,0.357,0.332,0.025,0.075301205
ML,30,MC,195,No.cull,10,13.19,3.37,0.191,0.179,0.012,0.067039106
ML,30,MC,199,Juv.cull,1,14.73,3.77,0.219,0.205,0.014,0.068292683
ML,30,MC,199,Juv.cull,3,15.29,3.53,0.215,0.202,0.013,0.064356436
ML,30,MC,199,Juv.cull,4,13.54,2.97,0.16,0.159,0.001,0.006289308
ML,30,MC,199,Juv.cull,5,10.52,3.17,0.13,0.122,0.008,0.06557377
ML,30,MC,199,Juv.cull,10,14.69,4.23,0.23,0.215,0.015,0.069767442
ML,30,MC,211,No.cull,1,17.93,3.93,0.246,0.231,0.015,0.064935065
ML,30,MC,211,No.cull,2,13.58,3.63,0.184,0.174,0.01,0.057471264
ML,30,MC,211,No.cull,3,16.66,2.99,0.165,0.153,0.012,0.078431373
ML,30,MC,211,No.cull,4,13.71,4.24,0.17,0.159,0.011,0.06918239
ML,30,MC,211,No.cull,5,18.29,4.61,0.377,0.353,0.024,0.067988669
ML,30,MC,211,No.cull,6,19.35,3.51,0.24,0.211,0.029,0.137440758
ML,30,MC,211,No.cull,7,18.51,3.87,0.328,0.306,0.022,0.071895425
ML,30,MC,211,No.cull,8,23.09,3.54,0.365,0.341,0.024,0.070381232
ML,30,MC,211,No.cull,9,16.16,3.7,0.206,0.195,0.011,0.056410256
ML,30,MC,211,No.cull,10,14.12,4.13,0.222,0.209,0.013,0.062200957
ML,30,MC,608,Juv.cull,1,10.71,2.63,0.073,0.068,0.005,0.073529412
ML,30,MC,608,Juv.cull,2,13.7,2.77,0.13,0.121,0.009,0.074380165
ML,30,MC,608,Juv.cull,3,11.99,3.64,0.178,0.164,0.014,0.085365854
ML,30,MC,608,Juv.cull,4,11.2,2.91,0.13,0.122,0.008,0.06557377
ML,30,MC,608,Juv.cull,8,11.18,3.05,0.129,0.12,0.009,0.075
ML,33,NP,72,No.cull,1,16.37,4.92,0.418,0.377,0.041,0.108753316
ML,33,NP,72,No.cull,2,17.57,3.76,0.222,0.208,0.014,0.067307692
ML,33,NP,72,No.cull,3,16.23,4.96,0.332,0.312,0.02,0.064102564
ML,33,NP,72,No.cull,4,16.98,3.44,0.239,0.225,0.014,0.062222222
ML,33,NP,72,No.cull,5,14.08,4.28,0.227,0.212,0.015,0.070754717
ML,33,NP,72,No.cull,6,17.88,4.25,0.272,0.256,0.016,0.0625
ML,33,NP,72,No.cull,7,18.95,4.05,0.338,0.317,0.021,0.066246057
ML,33,NP,72,No.cull,8,16.43,3.67,0.223,0.209,0.014,0.066985646
ML,33,NP,72,No.cull,9,21.46,4.64,0.561,0.528,0.033,0.0625
ML,33,NP,72,No.cull,10,19.39,4.32,0.33,0.309,0.021,0.067961165
ML,33,NP,78,Juv.cull,4,17.56,3.83,0.331,0.31,0.021,0.067741935
ML,33,NP,78,Juv.cull,5,19.51,3.78,0.348,0.323,0.025,0.077399381
ML,33,NP,78,Juv.cull,9,23.55,4.37,0.581,0.544,0.037,0.068014706
ML,33,NP,78,Juv.cull,10,19.16,3.28,0.252,0.233,0.019,0.081545064
ML,33,NP,111,Juv.cull,1,9.54,2.32,0.049,0.046,0.003,0.065217391
ML,33,NP,111,Juv.cull,2,15.51,3.28,0.176,0.164,0.012,0.073170732
ML,33,NP,111,Juv.cull,10,11.88,2.4,0.079,0.073,0.006,0.082191781
ML,33,NP,133,No.cull,1,7.26,2.56,0.045,0.042,0.003,0.071428571
ML,33,NP,133,No.cull,2,9.88,3.06,0.111,0.103,0.008,0.077669903
ML,33,NP,133,No.cull,3,12.44,2.93,0.113,0.104,0.009,0.086538462
ML,33,NP,133,No.cull,6,8.43,2.2,0.031,0.026,0.005,0.192307692
ML,33,NP,133,No.cull,7,10.8,3.61,0.164,0.135,0.029,0.214814815
ML,33,NP,133,No.cull,8,11.04,2.74,0.078,0.072,0.006,0.083333333
ML,33,NP,133,No.cull,9,11.78,3.37,0.209,0.162,0.047,0.290123457
ML,33,NP,133,No.cull,10,16.62,4.35,0.313,0.241,0.072,0.298755187
ML,33,NP,134,Juv.cull,2,16.91,3.92,0.245,0.23,0.015,0.065217391
ML,33,NP,134,Juv.cull,6,15.44,3.52,0.16,0.148,0.012,0.081081081
ML,33,NP,134,Juv.cull,7,18.65,4.12,0.346,0.325,0.021,0.064615385
ML,33,NP,134,Juv.cull,9,17.93,3.71,0.198,0.184,0.014,0.076086957
ML,33,NP,134,Juv.cull,10,18.65,4.12,0.339,0.32,0.019,0.059375
ML,33,NP,135,No.cull,1,10.66,3.24,0.106,0.098,0.008,0.081632653
ML,33,NP,135,No.cull,3,9.64,2.87,0.084,0.08,0.004,0.05
ML,33,NP,135,No.cull,4,7.98,2.57,0.052,0.047,0.005,0.106382979
ML,33,NP,135,No.cull,5,15.29,3.15,0.196,0.183,0.013,0.071038251
ML,33,NP,135,No.cull,6,12.72,4.13,0.167,0.134,0.033,0.246268657
ML,33,NP,135,No.cull,7,13.15,2.63,0.152,0.141,0.011,0.078014184
ML,33,NP,135,No.cull,8,7.65,3.13,0.08,0.07,0.01,0.142857143
ML,33,NP,135,No.cull,9,15.12,3,0.161,0.15,0.011,0.073333333
ML,33,NP,135,No.cull,10,17.4,3.34,0.248,0.232,0.016,0.068965517
ML,33,NP,136,Juv.cull,1,9.88,3.61,0.093,0.081,0.012,0.148148148
ML,33,NP,136,Juv.cull,2,12.28,2.56,0.074,0.067,0.007,0.104477612
ML,33,NP,136,Juv.cull,3,11.28,3.03,0.117,0.1,0.017,0.17
ML,33,NP,136,Juv.cull,10,16.52,3.56,0.233,0.218,0.015,0.068807339
ML,33,NP,140,Juv.cull,1,9.65,2.83,0.088,0.084,0.004,0.047619048
ML,33,NP,140,Juv.cull,2,13.93,3.21,0.139,0.129,0.01,0.07751938
ML,33,NP,140,Juv.cull,7,18.08,3.51,0.304,0.285,0.019,0.066666667
ML,33,NP,140,Juv.cull,3,10.64,3.64,0.133,0.124,0.009,0.072580645
ML,33,NP,151,No.cull,1,13.43,2.95,0.123,0.114,0.009,0.078947368
ML,33,NP,151,No.cull,2,12.01,3.26,0.111,0.104,0.007,0.067307692
ML,33,NP,151,No.cull,3,19.09,3.74,0.364,0.339,0.025,0.073746313
ML,33,NP,151,No.cull,4,18.06,3.26,0.262,0.247,0.015,0.060728745
ML,33,NP,151,No.cull,5,18.34,3.46,0.285,0.269,0.016,0.059479554
ML,33,NP,151,No.cull,6,13.14,3.02,0.116,0.11,0.006,0.054545455
ML,33,NP,151,No.cull,7,13.47,3.44,0.178,0.168,0.01,0.05952381
ML,33,NP,151,No.cull,8,15.34,3.57,0.199,0.188,0.011,0.058510638
ML,33,NP,151,No.cull,9,14.08,3.1,0.147,0.139,0.008,0.057553957
ML,33,NP,151,No.cull,10,12.75,3.68,0.159,0.15,0.009,0.06
ML,33,NP,163,No.cull,1,15.7,3.36,0.204,0.191,0.013,0.068062827
ML,33,NP,163,No.cull,2,9.69,2.88,0.097,0.089,0.008,0.08988764
